Algorithm,Model,Baseline AUC,Tuned AUC,Delta AUC
Logistic Regression,Model A,0.5360449735449735,0.5386904761904763,0.002645502645502784
Random Forest,Model A,0.5398478835978836,0.5472883597883598,0.007440476190476164
XGBoost,Model A,0.5710978835978836,0.5211640211640212,-0.04993386243386244
LightGBM,Model A,0.5393518518518517,0.5681216931216931,0.02876984126984139
CatBoost,Model A,0.5618386243386243,0.5750661375661376,0.013227513227513255
